year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2018,Spring,"12 - Hallway, Corridor",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,79 - Other Outside Area,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)","8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,24 - Cooking Area or Kitchen,2500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,24 - Cooking Area or Kitchen,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,97 - Other - unclassified,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2018,Winter,64 - Porch or Balcony,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,System Presents,2 - Fire with no evidence from street,NA
2018,Spring,"25 - Washroom or Bathroom (toilet,restroom/locker room)",1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,"25 - Washroom or Bathroom (toilet,restroom/locker room)",20000,0,3 - Spread to entire room of origin,3 - Spread to entire room of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,24 - Cooking Area or Kitchen,8000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,24 - Cooking Area or Kitchen,200,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",8000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,83 - Electrical Systems,10000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"30 - Sales, Showroom Area",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2018,Spring,42 - Garage,5000,1,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,"21 - Living Area (e.g. living, TV, recreation, etc)",40000,1,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",System Presents and Operated,No System,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"21 - Living Area (e.g. living, TV, recreation, etc)",200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,"12 - Hallway, Corridor",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",3000,1,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",45000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,69 - Attic Area,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",200,1,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,50 - Basement/cellar (not partitioned),5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"25 - Washroom or Bathroom (toilet,restroom/locker room)",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2018,Winter,24 - Cooking Area or Kitchen,8000,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,10,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,69 - Attic Area,25000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,NA
2018,Spring,24 - Cooking Area or Kitchen,15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"72 - Court, Patio, Terrace",1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2018,Spring,49 - Other Storage Area,7500,0,10 - Spread beyond building of origin,10 - Spread beyond building of origin,No System,No System,No System,8 - Exposure involved,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,61 - Exterior Wall,200,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",1,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2018,Spring,"30 - Sales, Showroom Area",20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",20,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,2 - Fire with no evidence from street,NA
2018,Winter,24 - Cooking Area or Kitchen,1500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,97 - Other - unclassified,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,NA
